Size,formula,normalized,normalizedSize
3,(⊥ || t),((⊥ --> ⊥) --> t),5
3,(q && ⊥),((q --> (⊥ --> ⊥)) --> ⊥),7
3,Box(Box(q)),Box(Box(q)),3
3,Box(Diamond(x)),Box((Box((x --> ⊥)) --> ⊥)),7
3,(z || z),((z --> ⊥) --> z),5
3,(u && q),((u --> (q --> ⊥)) --> ⊥),7
3,Box(Box(q)),Box(Box(q)),3
3,(s || z),((s --> ⊥) --> z),5
3,Box(!(w)),Box((w --> ⊥)),4
3,Box(Diamond(r)),Box((Box((r --> ⊥)) --> ⊥)),7
3,Box(!(x)),Box((x --> ⊥)),4
3,Box(Diamond(w)),Box((Box((w --> ⊥)) --> ⊥)),7
3,(q || v),((q --> ⊥) --> v),5
3,(w || r),((w --> ⊥) --> r),5
3,(z || ⊥),((z --> ⊥) --> ⊥),5
3,Box(!(u)),Box((u --> ⊥)),4
3,(s || ⊥),((s --> ⊥) --> ⊥),5
3,Box(Diamond(s)),Box((Box((s --> ⊥)) --> ⊥)),7
3,(r || w),((r --> ⊥) --> w),5
3,(x || x),((x --> ⊥) --> x),5
3,Diamond(!(r)),(Box(((r --> ⊥) --> ⊥)) --> ⊥),8
3,(z || p),((z --> ⊥) --> p),5
3,(z || s),((z --> ⊥) --> s),5
3,(y || x),((y --> ⊥) --> x),5
3,(z || x),((z --> ⊥) --> x),5
3,(q || p),((q --> ⊥) --> p),5
3,(p || ⊥),((p --> ⊥) --> ⊥),5
3,(⊥ || ⊥),((⊥ --> ⊥) --> ⊥),5
3,Box(!(q)),Box((q --> ⊥)),4
3,(r || s),((r --> ⊥) --> s),5
3,Box(!(y)),Box((y --> ⊥)),4
3,(z --> v),(z --> v),3
3,Box(!(s)),Box((s --> ⊥)),4
3,Diamond(Diamond(p)),(Box(((Box((p --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),11
3,(s || ⊥),((s --> ⊥) --> ⊥),5
3,!(Box(x)),(Box(x) --> ⊥),4
3,Diamond(!(z)),(Box(((z --> ⊥) --> ⊥)) --> ⊥),8
3,Diamond(Box(s)),(Box((Box(s) --> ⊥)) --> ⊥),7
3,(u --> r),(u --> r),3
3,(y --> u),(y --> u),3
3,Diamond(Diamond(x)),(Box(((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),11
3,Diamond(!(p)),(Box(((p --> ⊥) --> ⊥)) --> ⊥),8
3,!(Box(p)),(Box(p) --> ⊥),4
3,Diamond(!(⊥)),(Box(((⊥ --> ⊥) --> ⊥)) --> ⊥),8
3,(s --> t),(s --> t),3
3,Diamond(Box(⊥)),(Box((Box(⊥) --> ⊥)) --> ⊥),7
3,!(Box(y)),(Box(y) --> ⊥),4
3,(s --> x),(s --> x),3
3,(t --> z),(t --> z),3
3,(v --> ⊥),(v --> ⊥),3
3,(w --> u),(w --> u),3
4,!(Diamond(Diamond(u))),((Box(((Box((u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥),13
4,(y <-> Diamond(t)),(((y --> (Box((t --> ⊥)) --> ⊥)) --> (((Box((t --> ⊥)) --> ⊥) --> y) --> ⊥)) --> ⊥),21
4,(p <-> Diamond(x)),(((p --> (Box((x --> ⊥)) --> ⊥)) --> (((Box((x --> ⊥)) --> ⊥) --> p) --> ⊥)) --> ⊥),21
4,(Diamond(x) <-> t),((((Box((x --> ⊥)) --> ⊥) --> t) --> ((t --> (Box((x --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),21
4,(Box(⊥) || x),((Box(⊥) --> ⊥) --> x),6
4,Box(!(Diamond(t))),Box(((Box((t --> ⊥)) --> ⊥) --> ⊥)),9
4,!(Diamond(Box(v))),((Box((Box(v) --> ⊥)) --> ⊥) --> ⊥),9
4,(r <-> !(r)),(((r --> (r --> ⊥)) --> (((r --> ⊥) --> r) --> ⊥)) --> ⊥),15
4,(!(r) <-> u),((((r --> ⊥) --> u) --> ((u --> (r --> ⊥)) --> ⊥)) --> ⊥),15
4,(s <-> !(u)),(((s --> (u --> ⊥)) --> (((u --> ⊥) --> s) --> ⊥)) --> ⊥),15
4,(!(⊥) <-> t),((((⊥ --> ⊥) --> t) --> ((t --> (⊥ --> ⊥)) --> ⊥)) --> ⊥),15
4,(Box(t) <-> y),(((Box(t) --> y) --> ((y --> Box(t)) --> ⊥)) --> ⊥),13
4,Box((t <-> ⊥)),Box((((t --> ⊥) --> ((⊥ --> t) --> ⊥)) --> ⊥)),12
4,Box((t <-> q)),Box((((t --> q) --> ((q --> t) --> ⊥)) --> ⊥)),12
4,(Box(w) <-> x),(((Box(w) --> x) --> ((x --> Box(w)) --> ⊥)) --> ⊥),13
4,(Box(p) <-> w),(((Box(p) --> w) --> ((w --> Box(p)) --> ⊥)) --> ⊥),13
4,Box(Box(Box(z))),Box(Box(Box(z))),4
4,(y && Diamond(x)),((y --> ((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),12
4,(Diamond(p) && q),(((Box((p --> ⊥)) --> ⊥) --> (q --> ⊥)) --> ⊥),12
4,(⊥ && !(w)),((⊥ --> ((w --> ⊥) --> ⊥)) --> ⊥),9
4,(p && Diamond(x)),((p --> ((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),12
4,(q && Diamond(q)),((q --> ((Box((q --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),12
4,(Diamond(r) --> ⊥),((Box((r --> ⊥)) --> ⊥) --> ⊥),8
4,!((y && t)),(((y --> (t --> ⊥)) --> ⊥) --> ⊥),9
4,(Diamond(z) --> x),((Box((z --> ⊥)) --> ⊥) --> x),8
4,(Diamond(⊥) || y),(((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> y),10
4,Box((z && v)),Box(((z --> (v --> ⊥)) --> ⊥)),8
4,(⊥ && Box(x)),((⊥ --> (Box(x) --> ⊥)) --> ⊥),8
4,Box((z && q)),Box(((z --> (q --> ⊥)) --> ⊥)),8
4,(⊥ && Box(t)),((⊥ --> (Box(t) --> ⊥)) --> ⊥),8
4,Box(Box(Diamond(t))),Box(Box((Box((t --> ⊥)) --> ⊥))),8
4,(x && !(⊥)),((x --> ((⊥ --> ⊥) --> ⊥)) --> ⊥),9
4,(Diamond(r) && x),(((Box((r --> ⊥)) --> ⊥) --> (x --> ⊥)) --> ⊥),12
4,(⊥ && !(u)),((⊥ --> ((u --> ⊥) --> ⊥)) --> ⊥),9
4,(Diamond(p) && t),(((Box((p --> ⊥)) --> ⊥) --> (t --> ⊥)) --> ⊥),12
4,(Diamond(u) --> ⊥),((Box((u --> ⊥)) --> ⊥) --> ⊥),8
4,(Diamond(s) && ⊥),(((Box((s --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥),12
4,(⊥ || !(q)),((⊥ --> ⊥) --> (q --> ⊥)),7
4,(Box(x) && v),((Box(x) --> (v --> ⊥)) --> ⊥),8
4,(Box(⊥) && ⊥),((Box(⊥) --> (⊥ --> ⊥)) --> ⊥),8
4,(Box(y) && w),((Box(y) --> (w --> ⊥)) --> ⊥),8
4,!((u && z)),(((u --> (z --> ⊥)) --> ⊥) --> ⊥),9
4,Box(Box(Diamond(⊥))),Box(Box((Box((⊥ --> ⊥)) --> ⊥))),8
4,(Diamond(x) --> q),((Box((x --> ⊥)) --> ⊥) --> q),8
4,(Box(⊥) && t),((Box(⊥) --> (t --> ⊥)) --> ⊥),8
4,(y || Diamond(z)),((y --> ⊥) --> (Box((z --> ⊥)) --> ⊥)),10
4,(!(w) && ⊥),(((w --> ⊥) --> (⊥ --> ⊥)) --> ⊥),9
4,!((z --> u)),((z --> u) --> ⊥),5
4,(Diamond(r) || z),(((Box((r --> ⊥)) --> ⊥) --> ⊥) --> z),10
4,(x || Diamond(⊥)),((x --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)),10
4,(z || Box(⊥)),((z --> ⊥) --> Box(⊥)),6
4,!(!(Diamond(x))),(((Box((x --> ⊥)) --> ⊥) --> ⊥) --> ⊥),10
4,!(!(Box(r))),((Box(r) --> ⊥) --> ⊥),6
4,!(!(Box(u))),((Box(u) --> ⊥) --> ⊥),6
4,Box((⊥ || ⊥)),Box(((⊥ --> ⊥) --> ⊥)),6
4,(!(w) || u),(((w --> ⊥) --> ⊥) --> u),7
4,(q || Diamond(⊥)),((q --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)),10
4,Box((q || x)),Box(((q --> ⊥) --> x)),6
4,(Box(z) || t),((Box(z) --> ⊥) --> t),6
4,(w || !(t)),((w --> ⊥) --> (t --> ⊥)),7
4,(⊥ || Diamond(⊥)),((⊥ --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)),10
4,(Box(⊥) || r),((Box(⊥) --> ⊥) --> r),6
4,!((w || r)),(((w --> ⊥) --> r) --> ⊥),7
4,(⊥ || Box(t)),((⊥ --> ⊥) --> Box(t)),6
4,Box((v --> s)),Box((v --> s)),4
4,(!(y) || ⊥),(((y --> ⊥) --> ⊥) --> ⊥),7
4,(!(p) --> p),((p --> ⊥) --> p),5
4,!((w --> w)),((w --> w) --> ⊥),5
4,Box(Diamond(Diamond(u))),Box((Box(((Box((u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),12
4,Diamond((u <-> z)),(Box(((((u --> z) --> ((z --> u) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),16
4,(s --> Diamond(u)),(s --> (Box((u --> ⊥)) --> ⊥)),8
4,Box(!(Box(r))),Box((Box(r) --> ⊥)),5
4,Diamond(Box(Box(x))),(Box((Box(Box(x)) --> ⊥)) --> ⊥),8
4,Diamond((w --> p)),(Box(((w --> p) --> ⊥)) --> ⊥),8
4,Diamond((p --> s)),(Box(((p --> s) --> ⊥)) --> ⊥),8
4,Diamond(Diamond(!(q))),(Box(((Box(((q --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),13
4,!((⊥ --> ⊥)),((⊥ --> ⊥) --> ⊥),5
4,Diamond((v || r)),(Box((((v --> ⊥) --> r) --> ⊥)) --> ⊥),10
4,(Box(⊥) --> s),(Box(⊥) --> s),4
4,Diamond((⊥ && z)),(Box((((⊥ --> (z --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),12
4,Diamond(Diamond(!(v))),(Box(((Box(((v --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),13
4,(v --> !(p)),(v --> (p --> ⊥)),5
4,(Box(y) --> r),(Box(y) --> r),4
4,!(Box(!(x))),(Box((x --> ⊥)) --> ⊥),6
5,((q <-> y) <-> z),((((((q --> y) --> ((y --> q) --> ⊥)) --> ⊥) --> z) --> ((z --> (((q --> y) --> ((y --> q) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),31
5,((y <-> t) <-> q),((((((y --> t) --> ((t --> y) --> ⊥)) --> ⊥) --> q) --> ((q --> (((y --> t) --> ((t --> y) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),31
5,!((Diamond(z) <-> u)),(((((Box((z --> ⊥)) --> ⊥) --> u) --> ((u --> (Box((z --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),23
5,((w <-> x) --> u),((((w --> x) --> ((x --> w) --> ⊥)) --> ⊥) --> u),13
5,Box((!(w) && v)),Box((((w --> ⊥) --> (v --> ⊥)) --> ⊥)),10
5,(Box(z) <-> Diamond(p)),(((Box(z) --> (Box((p --> ⊥)) --> ⊥)) --> (((Box((p --> ⊥)) --> ⊥) --> Box(z)) --> ⊥)) --> ⊥),23
5,((z || q) <-> v),(((((z --> ⊥) --> q) --> v) --> ((v --> ((z --> ⊥) --> q)) --> ⊥)) --> ⊥),19
5,(z <-> (⊥ || s)),(((z --> ((⊥ --> ⊥) --> s)) --> ((((⊥ --> ⊥) --> s) --> z) --> ⊥)) --> ⊥),19
5,(y <-> Box(!(q))),(((y --> Box((q --> ⊥))) --> ((Box((q --> ⊥)) --> y) --> ⊥)) --> ⊥),17
5,((u || p) <-> r),(((((u --> ⊥) --> p) --> r) --> ((r --> ((u --> ⊥) --> p)) --> ⊥)) --> ⊥),19
5,(w <-> (z || p)),(((w --> ((z --> ⊥) --> p)) --> ((((z --> ⊥) --> p) --> w) --> ⊥)) --> ⊥),19
5,Box((!(x) <-> w)),Box(((((x --> ⊥) --> w) --> ((w --> (x --> ⊥)) --> ⊥)) --> ⊥)),16
5,(Diamond(Box(r)) <-> ⊥),((((Box((Box(r) --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> (Box((Box(r) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),23
5,((t && s) <-> ⊥),(((((t --> (s --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> ((t --> (s --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),23
5,(Box(Box(u)) <-> z),(((Box(Box(u)) --> z) --> ((z --> Box(Box(u))) --> ⊥)) --> ⊥),15
5,Box((p && Box(w))),Box(((p --> (Box(w) --> ⊥)) --> ⊥)),9
5,(⊥ && (y <-> x)),((⊥ --> ((((y --> x) --> ((x --> y) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,(q && (s <-> p)),((q --> ((((s --> p) --> ((p --> s) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,(x || (s <-> y)),((x --> ⊥) --> (((s --> y) --> ((y --> s) --> ⊥)) --> ⊥)),15
5,((⊥ <-> w) --> v),((((⊥ --> w) --> ((w --> ⊥) --> ⊥)) --> ⊥) --> v),13
5,(!(Box(p)) <-> v),((((Box(p) --> ⊥) --> v) --> ((v --> (Box(p) --> ⊥)) --> ⊥)) --> ⊥),17
5,(y && (z <-> z)),((y --> ((((z --> z) --> ((z --> z) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,(p <-> Box(!(y))),(((p --> Box((y --> ⊥))) --> ((Box((y --> ⊥)) --> p) --> ⊥)) --> ⊥),17
5,(q || (z <-> s)),((q --> ⊥) --> (((z --> s) --> ((s --> z) --> ⊥)) --> ⊥)),15
5,Box((Box(u) || v)),Box(((Box(u) --> ⊥) --> v)),7
5,!(Diamond((u && u))),((Box((((u --> (u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥),14
5,((v && r) && ⊥),((((v --> (r --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥),13
5,(Diamond(q) || Box(⊥)),(((Box((q --> ⊥)) --> ⊥) --> ⊥) --> Box(⊥)),11
5,!((Diamond(z) || ⊥)),((((Box((z --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> ⊥),12
5,(⊥ && !(!(r))),((⊥ --> (((r --> ⊥) --> ⊥) --> ⊥)) --> ⊥),11
5,(⊥ && Diamond(Diamond(⊥))),((⊥ --> ((Box(((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,!((x && !(v))),(((x --> ((v --> ⊥) --> ⊥)) --> ⊥) --> ⊥),11
5,((w --> ⊥) <-> ⊥),((((w --> ⊥) --> ⊥) --> ((⊥ --> (w --> ⊥)) --> ⊥)) --> ⊥),15
5,(r && Diamond(Diamond(v))),((r --> ((Box(((Box((v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,(Diamond(w) --> !(z)),((Box((w --> ⊥)) --> ⊥) --> (z --> ⊥)),10
5,(Diamond(u) && Diamond(r)),(((Box((u --> ⊥)) --> ⊥) --> ((Box((r --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,(w || (u && u)),((w --> ⊥) --> ((u --> (u --> ⊥)) --> ⊥)),11
5,(p || (s && w)),((p --> ⊥) --> ((s --> (w --> ⊥)) --> ⊥)),11
5,(!(v) && Box(w)),(((v --> ⊥) --> (Box(w) --> ⊥)) --> ⊥),10
5,(Box(z) && Diamond(⊥)),((Box(z) --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),13
5,(Diamond(r) && Box(⊥)),(((Box((r --> ⊥)) --> ⊥) --> (Box(⊥) --> ⊥)) --> ⊥),13
5,(!(y) || Box(v)),(((y --> ⊥) --> ⊥) --> Box(v)),8
5,((v && r) --> ⊥),(((v --> (r --> ⊥)) --> ⊥) --> ⊥),9
5,Box((z || !(u))),Box(((z --> ⊥) --> (u --> ⊥))),8
5,(Diamond(!(r)) && p),(((Box(((r --> ⊥) --> ⊥)) --> ⊥) --> (p --> ⊥)) --> ⊥),14
5,(!(x) && Box(r)),(((x --> ⊥) --> (Box(r) --> ⊥)) --> ⊥),10
5,(!(y) || Box(v)),(((y --> ⊥) --> ⊥) --> Box(v)),8
5,Box(Box((p || s))),Box(Box(((p --> ⊥) --> s))),7
5,((y --> ⊥) || s),(((y --> ⊥) --> ⊥) --> s),7
5,!((!(q) || t)),((((q --> ⊥) --> ⊥) --> t) --> ⊥),9
5,(!(!(y)) || p),((((y --> ⊥) --> ⊥) --> ⊥) --> p),9
5,((v --> ⊥) && z),(((v --> ⊥) --> (z --> ⊥)) --> ⊥),9
5,(Diamond(t) --> Box(⊥)),((Box((t --> ⊥)) --> ⊥) --> Box(⊥)),9
5,(Diamond(Diamond(z)) || x),(((Box(((Box((z --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> x),15
5,(!(s) || Diamond(s)),(((s --> ⊥) --> ⊥) --> (Box((s --> ⊥)) --> ⊥)),12
5,(Box(⊥) || !(x)),((Box(⊥) --> ⊥) --> (x --> ⊥)),8
5,(!(s) || Box(q)),(((s --> ⊥) --> ⊥) --> Box(q)),8
5,(⊥ || !(!(s))),((⊥ --> ⊥) --> ((s --> ⊥) --> ⊥)),9
5,(r --> !(!(⊥))),(r --> ((⊥ --> ⊥) --> ⊥)),7
5,(!(u) || !(u)),(((u --> ⊥) --> ⊥) --> (u --> ⊥)),9
5,Diamond((Diamond(q) <-> t)),(Box((((((Box((q --> ⊥)) --> ⊥) --> t) --> ((t --> (Box((q --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),26
5,(w || Diamond(!(⊥))),((w --> ⊥) --> (Box(((⊥ --> ⊥) --> ⊥)) --> ⊥)),12
5,(t || (x --> r)),((t --> ⊥) --> (x --> r)),7
5,(w --> (⊥ || p)),(w --> ((⊥ --> ⊥) --> p)),7
5,Box((u --> !(y))),Box((u --> (y --> ⊥))),6
5,(r --> (s || t)),(r --> ((s --> ⊥) --> t)),7
5,!((Box(q) --> y)),((Box(q) --> y) --> ⊥),6
5,((v || p) --> s),(((v --> ⊥) --> p) --> s),7
5,Box(Diamond((w && s))),Box((Box((((w --> (s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),13
5,(z --> Diamond(!(y))),(z --> (Box(((y --> ⊥) --> ⊥)) --> ⊥)),10
5,((x --> s) || v),(((x --> s) --> ⊥) --> v),7
5,(Box(u) --> Diamond(v)),(Box(u) --> (Box((v --> ⊥)) --> ⊥)),9
5,Box(Diamond((v --> v))),Box((Box(((v --> v) --> ⊥)) --> ⊥)),9
5,((y --> ⊥) || ⊥),(((y --> ⊥) --> ⊥) --> ⊥),7
5,Box(Diamond(!(Diamond(w)))),Box((Box((((Box((w --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥)),14
5,(Box(s) --> Diamond(s)),(Box(s) --> (Box((s --> ⊥)) --> ⊥)),9
5,Diamond((Diamond(u) <-> v)),(Box((((((Box((u --> ⊥)) --> ⊥) --> v) --> ((v --> (Box((u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),26
5,(z --> !(Box(⊥))),(z --> (Box(⊥) --> ⊥)),6
5,!(Box((u <-> z))),(Box((((u --> z) --> ((z --> u) --> ⊥)) --> ⊥)) --> ⊥),14
5,Box((Box(⊥) --> p)),Box((Box(⊥) --> p)),5
5,Diamond(Diamond((r <-> y))),(Box(((Box(((((r --> y) --> ((y --> r) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),21
5,Diamond((⊥ && Diamond(v))),(Box((((⊥ --> ((Box((v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,Diamond(!(Diamond(Box(⊥)))),(Box((((Box((Box(⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),14
5,Diamond((Box(t) --> v)),(Box(((Box(t) --> v) --> ⊥)) --> ⊥),9
5,Diamond((u && Diamond(⊥))),(Box((((u --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),17
5,(Box(Diamond(r)) --> s),(Box((Box((r --> ⊥)) --> ⊥)) --> s),9
5,Diamond((Diamond(r) --> x)),(Box((((Box((r --> ⊥)) --> ⊥) --> x) --> ⊥)) --> ⊥),13
5,!(Box((⊥ || z))),(Box(((⊥ --> ⊥) --> z)) --> ⊥),8
5,Diamond(!((z --> p))),(Box((((z --> p) --> ⊥) --> ⊥)) --> ⊥),10
6,((w <-> p) <-> Diamond(s)),((((((w --> p) --> ((p --> w) --> ⊥)) --> ⊥) --> (Box((s --> ⊥)) --> ⊥)) --> (((Box((s --> ⊥)) --> ⊥) --> (((w --> p) --> ((p --> w) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),41
6,((s <-> y) <-> Box(z)),((((((s --> y) --> ((y --> s) --> ⊥)) --> ⊥) --> Box(z)) --> ((Box(z) --> (((s --> y) --> ((y --> s) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),33
6,Box(!((v <-> Diamond(v)))),Box(((((v --> (Box((v --> ⊥)) --> ⊥)) --> (((Box((v --> ⊥)) --> ⊥) --> v) --> ⊥)) --> ⊥) --> ⊥)),24
6,(Diamond(s) <-> Diamond(!(t))),((((Box((s --> ⊥)) --> ⊥) --> (Box(((t --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((t --> ⊥) --> ⊥)) --> ⊥) --> (Box((s --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),35
6,(!(Diamond(p)) <-> Box(v)),(((((Box((p --> ⊥)) --> ⊥) --> ⊥) --> Box(v)) --> ((Box(v) --> ((Box((p --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),27
6,(!(!(t)) <-> Diamond(s)),(((((t --> ⊥) --> ⊥) --> (Box((s --> ⊥)) --> ⊥)) --> (((Box((s --> ⊥)) --> ⊥) --> ((t --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),29
6,(v <-> Diamond((z && ⊥))),(((v --> (Box((((z --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (((Box((((z --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> v) --> ⊥)) --> ⊥),33
6,((Diamond(v) || ⊥) <-> w),((((((Box((v --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> w) --> ((w --> (((Box((v --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),29
6,(y --> (u <-> Diamond(w))),(y --> (((u --> (Box((w --> ⊥)) --> ⊥)) --> (((Box((w --> ⊥)) --> ⊥) --> u) --> ⊥)) --> ⊥)),23
6,(!(w) <-> Diamond(!(x))),((((w --> ⊥) --> (Box(((x --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((x --> ⊥) --> ⊥)) --> ⊥) --> (w --> ⊥)) --> ⊥)) --> ⊥),29
6,(t <-> !((r || r))),(((t --> (((r --> ⊥) --> r) --> ⊥)) --> (((((r --> ⊥) --> r) --> ⊥) --> t) --> ⊥)) --> ⊥),23
6,((Box(p) <-> v) || p),(((((Box(p) --> v) --> ((v --> Box(p)) --> ⊥)) --> ⊥) --> ⊥) --> p),17
6,(v && !((x <-> s))),((v --> (((((x --> s) --> ((s --> x) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),19
6,((r || q) <-> !(p)),(((((r --> ⊥) --> q) --> (p --> ⊥)) --> (((p --> ⊥) --> ((r --> ⊥) --> q)) --> ⊥)) --> ⊥),23
6,((!(p) <-> v) && w),((((((p --> ⊥) --> v) --> ((v --> (p --> ⊥)) --> ⊥)) --> ⊥) --> (w --> ⊥)) --> ⊥),21
6,(Diamond(v) --> (u <-> s)),((Box((v --> ⊥)) --> ⊥) --> (((u --> s) --> ((s --> u) --> ⊥)) --> ⊥)),18
6,((Box(t) || s) <-> p),(((((Box(t) --> ⊥) --> s) --> p) --> ((p --> ((Box(t) --> ⊥) --> s)) --> ⊥)) --> ⊥),21
