Size,formula,normalized,normalizedSize
9,!(((s && ⊥) || Box((r --> ⊥)))),(((((s --> (⊥ --> ⊥)) --> ⊥) --> ⊥) --> Box((r --> ⊥))) --> ⊥),16
9,(!(!((⊥ && Box(v)))) --> Box(x)),(((((⊥ --> (Box(v) --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> Box(x)),15
9,((⊥ && (!(t) && Diamond(s))) --> y),(((⊥ --> ((((t --> ⊥) --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> y),22
9,((p || u) --> (⊥ --> !(Box(x)))),(((p --> ⊥) --> u) --> (⊥ --> (Box(x) --> ⊥))),12
10,Box((!(Box(x)) <-> Box((Box(q) || u)))),Box(((((Box(x) --> ⊥) --> Box(((Box(q) --> ⊥) --> u))) --> ((Box(((Box(q) --> ⊥) --> u)) --> (Box(x) --> ⊥)) --> ⊥)) --> ⊥)),30
10,Box((Diamond(!(⊥)) <-> Box(Box((y && s))))),Box(((((Box(((⊥ --> ⊥) --> ⊥)) --> ⊥) --> Box(Box(((y --> (s --> ⊥)) --> ⊥)))) --> ((Box(Box(((y --> (s --> ⊥)) --> ⊥))) --> (Box(((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)),42
10,Box((Box(q) <-> ((s --> x) || Box(s)))),Box((((Box(q) --> (((s --> x) --> ⊥) --> Box(s))) --> (((((s --> x) --> ⊥) --> Box(s)) --> Box(q)) --> ⊥)) --> ⊥)),28
10,!((Diamond(Box((q --> s))) <-> (⊥ <-> t))),(((((Box((Box((q --> s)) --> ⊥)) --> ⊥) --> (((⊥ --> t) --> ((t --> ⊥) --> ⊥)) --> ⊥)) --> (((((⊥ --> t) --> ((t --> ⊥) --> ⊥)) --> ⊥) --> (Box((Box((q --> s)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),49
10,(!(x) || Box((Box(Diamond(u)) <-> Box(⊥)))),(((x --> ⊥) --> ⊥) --> Box((((Box((Box((u --> ⊥)) --> ⊥)) --> Box(⊥)) --> ((Box(⊥) --> Box((Box((u --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥))),32
10,(((t --> Box(x)) <-> !(Box(⊥))) <-> v),(((((((t --> Box(x)) --> (Box(⊥) --> ⊥)) --> (((Box(⊥) --> ⊥) --> (t --> Box(x))) --> ⊥)) --> ⊥) --> v) --> ((v --> ((((t --> Box(x)) --> (Box(⊥) --> ⊥)) --> (((Box(⊥) --> ⊥) --> (t --> Box(x))) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),55
10,(((⊥ --> (y <-> w)) <-> Box(t)) <-> ⊥),(((((((⊥ --> (((y --> w) --> ((w --> y) --> ⊥)) --> ⊥)) --> Box(t)) --> ((Box(t) --> (⊥ --> (((y --> w) --> ((w --> y) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> ((((⊥ --> (((y --> w) --> ((w --> y) --> ⊥)) --> ⊥)) --> Box(t)) --> ((Box(t) --> (⊥ --> (((y --> w) --> ((w --> y) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),83
10,((!(y) <-> (⊥ <-> q)) && (q && y)),((((((y --> ⊥) --> (((⊥ --> q) --> ((q --> ⊥) --> ⊥)) --> ⊥)) --> (((((⊥ --> q) --> ((q --> ⊥) --> ⊥)) --> ⊥) --> (y --> ⊥)) --> ⊥)) --> ⊥) --> (((q --> (y --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),47
10,(Box(y) || (t <-> (r || Diamond(Box(t))))),((Box(y) --> ⊥) --> (((t --> ((r --> ⊥) --> (Box((Box(t) --> ⊥)) --> ⊥))) --> ((((r --> ⊥) --> (Box((Box(t) --> ⊥)) --> ⊥)) --> t) --> ⊥)) --> ⊥)),36
10,((Diamond(z) && (⊥ && s)) <-> (z || q)),((((((Box((z --> ⊥)) --> ⊥) --> (((⊥ --> (s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ((z --> ⊥) --> q)) --> ((((z --> ⊥) --> q) --> (((Box((z --> ⊥)) --> ⊥) --> (((⊥ --> (s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),53
10,(Diamond((Diamond(⊥) || x)) <-> (v --> !(z))),((((Box(((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> x) --> ⊥)) --> ⊥) --> (v --> (z --> ⊥))) --> (((v --> (z --> ⊥)) --> (Box(((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> x) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),47
10,(p <-> !(Diamond((Diamond(⊥) || (v || p))))),(((p --> ((Box(((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> ((v --> ⊥) --> p)) --> ⊥)) --> ⊥) --> ⊥)) --> ((((Box(((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> ((v --> ⊥) --> p)) --> ⊥)) --> ⊥) --> ⊥) --> p) --> ⊥)) --> ⊥),51
10,(Box(⊥) --> (Diamond((w && x)) <-> Box(v))),(Box(⊥) --> ((((Box((((w --> (x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> Box(v)) --> ((Box(v) --> (Box((((w --> (x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)),38
10,((!(Box(y)) --> s) || Diamond(!(Diamond(v)))),((((Box(y) --> ⊥) --> s) --> ⊥) --> (Box((((Box((v --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥)),22
10,(((⊥ <-> w) --> w) --> (t || Diamond(u))),(((((⊥ --> w) --> ((w --> ⊥) --> ⊥)) --> ⊥) --> w) --> ((t --> ⊥) --> (Box((u --> ⊥)) --> ⊥))),24
10,((⊥ || Box(!(Box(s)))) <-> (u --> p)),(((((⊥ --> ⊥) --> Box((Box(s) --> ⊥))) --> (u --> p)) --> (((u --> p) --> ((⊥ --> ⊥) --> Box((Box(s) --> ⊥)))) --> ⊥)) --> ⊥),31
10,((!(t) <-> Diamond(u)) || !(!(!(⊥)))),((((((t --> ⊥) --> (Box((u --> ⊥)) --> ⊥)) --> (((Box((u --> ⊥)) --> ⊥) --> (t --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (((⊥ --> ⊥) --> ⊥) --> ⊥)),35
10,((x <-> x) || !(Diamond(Box((x || ⊥))))),(((((x --> x) --> ((x --> x) --> ⊥)) --> ⊥) --> ⊥) --> ((Box((Box(((x --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)),27
10,((((t --> ⊥) || !(v)) --> w) --> t),(((((t --> ⊥) --> ⊥) --> (v --> ⊥)) --> w) --> t),13
10,(Box(((x <-> u) <-> Diamond(v))) || !(⊥)),((Box(((((((x --> u) --> ((u --> x) --> ⊥)) --> ⊥) --> (Box((v --> ⊥)) --> ⊥)) --> (((Box((v --> ⊥)) --> ⊥) --> (((x --> u) --> ((u --> x) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)),48
10,!(((w --> w) --> (!(r) || Box(r)))),(((w --> w) --> (((r --> ⊥) --> ⊥) --> Box(r))) --> ⊥),14
10,((⊥ --> (!(Diamond(p)) && !(⊥))) && t),(((⊥ --> ((((Box((p --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> (t --> ⊥)) --> ⊥),24
11,Box((((Box(⊥) <-> Box(u)) || Diamond(z)) && p)),Box((((((((Box(⊥) --> Box(u)) --> ((Box(u) --> Box(⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (Box((z --> ⊥)) --> ⊥)) --> (p --> ⊥)) --> ⊥)),31
11,!((!(Diamond(((q --> s) <-> q))) <-> !(⊥))),((((((Box((((((q --> s) --> q) --> ((q --> (q --> s)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> ((Box((((((q --> s) --> q) --> ((q --> (q --> s)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),59
11,(Diamond(⊥) <-> ((⊥ || (z && Box(y))) --> z)),((((Box((⊥ --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ((z --> (Box(y) --> ⊥)) --> ⊥)) --> z)) --> (((((⊥ --> ⊥) --> ((z --> (Box(y) --> ⊥)) --> ⊥)) --> z) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),47
11,(Diamond((⊥ && q)) --> ((w && u) <-> !(x))),((Box((((⊥ --> (q --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (((((w --> (u --> ⊥)) --> ⊥) --> (x --> ⊥)) --> (((x --> ⊥) --> ((w --> (u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)),40
11,Box((Box(Diamond(p)) --> !((Box(p) --> Box(y))))),Box((Box((Box((p --> ⊥)) --> ⊥)) --> ((Box(p) --> Box(y)) --> ⊥))),16
11,((s --> !(⊥)) && !((p <-> (⊥ && w)))),(((s --> (⊥ --> ⊥)) --> (((((p --> ((⊥ --> (w --> ⊥)) --> ⊥)) --> ((((⊥ --> (w --> ⊥)) --> ⊥) --> p) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),35
11,((⊥ && Box(v)) <-> (u --> (q && !(v)))),(((((⊥ --> (Box(v) --> ⊥)) --> ⊥) --> (u --> ((q --> ((v --> ⊥) --> ⊥)) --> ⊥))) --> (((u --> ((q --> ((v --> ⊥) --> ⊥)) --> ⊥)) --> ((⊥ --> (Box(v) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),45
11,(r <-> (Diamond((t --> ⊥)) || (x || !(⊥)))),(((r --> (((Box(((t --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((x --> ⊥) --> (⊥ --> ⊥)))) --> (((((Box(((t --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((x --> ⊥) --> (⊥ --> ⊥))) --> r) --> ⊥)) --> ⊥),45
